nombre,apellido,genero,fecha nacimiento,dni,login,password
Dorey,Dainty,Male,6/13/2024,,ddainty0,dS9{o(1l}
Douglas,Garfitt,Male,12/4/2024,,dgarfitt1,aI7!cGaRkG8Xg_u
Britt,Rushbrooke,Female,8/1/2024,,brushbrooke2,uX6_L$E4E
Nevil,Edger,Male,8/14/2024,,nedger3,gM9'(owTm|d
Vally,Lepere,Genderfluid,11/20/2024,,vlepere4,fF2<(x%6%
Lazaro,Pole,Male,9/2/2024,,lpole5,aE9#./NmVQ
Hunt,Dodamead,Male,9/29/2024,,hdodamead6,mS8&YzprO8G1/x<
Dorothee,Ellice,Female,4/5/2025,,dellice7,eA0?X}VD3
Chick,Moodie,Male,1/15/2025,,cmoodie8,dR4`0A/)*d7}y
Janey,Cerro,Female,12/24/2024,,jcerro9,"gD2,v>e?||,x'H"
Jedidiah,MacCallister,Male,3/27/2025,,jmaccallistera,nY3{TNMk5&#`\&0$
Giulia,Aujean,Female,4/15/2025,,gaujeanb,zQ1>q#qo6Ta
Morgen,Stodd,Male,6/29/2024,,mstoddc,zX2!SB|ijo9)5K
Jamie,Gothup,Male,4/16/2025,,jgothupd,vS2/ZMIgHDb
Jules,Milan,Male,11/20/2024,,jmilane,"hL3&l,RH#2YB"
Humberto,MacIlurick,Male,6/24/2024,,hmacilurickf,jT5.8=Re
Zenia,Merredy,Female,12/3/2024,,zmerredyg,hB2.+yE`Uv
Jessie,Cancellieri,Male,3/20/2025,,jcancellierih,"lL2""hf)s.dI'B##"
Briana,Sansome,Female,10/12/2024,,bsansomei,pK6@p2T3\
Drud,Ellams,Male,7/9/2024,,dellamsj,lU7}*RV=oJwo5aSY
